NAME,TIME,POPULATION
LSO,2014,2095242
LTU,2014,2932367
LUX,2014,556319
LVA,2014,1993782
MAC,2014,604167
MAF,2014,35261
MAR,2014,34248603
MCO,2014,36110
MDA,2014,2857815
MDG,2014,24215976
MDV,2014,416738
MEX,2014,118755887
MHL,2014,50419
MKD,2014,2067471
MLI,2014,17551814
MLT,2014,434558
MMR,2014,51072436
MNE,2014,621810
MNG,2014,2902823
MNP,2014,51856
MOZ,2014,26038704
MRT,2014,3843174
MUS,2014,1261208
MWI,2014,16477966
MYS,2014,30606459
NAC,2014,353888902
NAM,2014,2243001
NCL,2014,268050
NER,2014,19372014
NGA,2014,179379016
NIC,2014,6208676
NLD,2014,16865008
NOR,2014,5137232
NPL,2014,27462106
NRU,2014,10940
NZL,2014,4516500
OMN,2014,4009267
OSS,2014,28907552
PAK,2014,208251628
PAN,2014,3888793
PER,2014,30353951
PHL,2014,101325201
PLW,2014,17796
PNG,2014,8464153
POL,2014,38011735
PRI,2014,3534874
PRK,2014,25126131
PRT,2014,10401062
PRY,2014,6090721
PSE,2014,4173398
PYF,2014,289873
QAT,2014,2214465
ROU,2014,19908979
RUS,2014,143819667
RWA,2014,11368451
SAS,2014,1754030304
SAU,2014,32125564
SDN,2014,37003245
SEN,2014,13970308
SGP,2014,5469724
SLB,2014,597375
SLE,2014,7140688
SLV,2014,6209526
SMR,2014,33389
SOM,2014,13309235
SRB,2014,7130576
SSD,2014,11213284
STP,2014,197497
SUR,2014,569682
SVK,2014,5418649
SVN,2014,2061980
SWE,2014,9696110
SWZ,2014,1125865
SXM,2014,37685
SYC,2014,91359
SYR,2014,20072232
TCA,2014,34985
TCD,2014,13697126
TGO,2014,7288383
THA,2014,69960943
TJK,2014,8326348
TKM,2014,5663152
TLS,2014,1184830
TON,2014,106626
TTO,2014,1450661
TUN,2014,11428948
TUR,2014,78112073
TUV,2014,10899
TZA,2014,50814552
UGA,2014,36336539
UKR,2014,45272155
URY,2014,3391662
USA,2014,318386329
UZB,2014,30757700
VCT,2014,106912
VEN,2014,30193258
VGB,2014,28971
VIR,2014,107882
VNM,2014,91235504
VUT,2014,269927
WSM,2014,201757
XKX,2014,1812771
YEM,2014,27753304
ZAF,2014,54729551
ZMB,2014,15737793
ZWE,2014,13855753
ABW,2015,104257
AFG,2015,33753499
AGO,2015,28127721
ALB,2015,2880703
AND,2015,71746
ARE,2015,8916899
ARG,2015,43131966
ARM,2015,2878595
ASM,2015,51368
ATG,2015,89941
AUS,2015,23815995
AUT,2015,8642699
AZE,2015,9649341
BDI,2015,10727148
BEL,2015,11274196
BEN,2015,10932783
BFA,2015,18718019
BGD,2015,157830000
BGR,2015,7177991
BHR,2015,1362142
BHS,2015,392697
BIH,2015,3524324
BLR,2015,9461076
BLZ,2015,359871
BMU,2015,65237
BOL,2015,11090085
BRA,2015,205188205
BRB,2015,278083
BRN,2015,421437
BTN,2015,743274
BWA,2015,2305171
CAF,2015,4819333
CAN,2015,35702908
CHE,2015,8282396
CHI,2015,162190
CHL,2015,17870124
CHN,2015,1379860000
CIV,2015,23596741
CMR,2015,23012646
COD,2015,78656904
COG,2015,5064386
COL,2015,47119728
COM,2015,730216
CPV,2015,552166
CRI,2015,4895242
CUB,2015,11339894
CUW,2015,157980
CYM,2015,60911
CYP,2015,1187280
CZE,2015,10546059
DEU,2015,81686611
DJI,2015,1006259
DMA,2015,70007
DNK,2015,5683483
DOM,2015,10405832
DZA,2015,39543154
ECU,2015,16195902
EGY,2015,97723799
EMU,2015,339514675
ERI,2015,3340006
ESP,2015,46444832
EST,2015,1315407
ETH,2015,102471895
FIN,2015,5479531
FJI,2015,917200
FRA,2015,66548272
FRO,2015,48816
FSM,2015,109462
GAB,2015,2028517
GBR,2015,65116219
GEO,2015,3725276
GHA,2015,28870939
GIB,2015,32520
GIN,2015,11625998
GMB,2015,2253133
GNB,2015,1788919
GNQ,2015,1346973
GRC,2015,10820883
GRD,2015,118980
GRL,2015,56114
GTM,2015,15567419
GUM,2015,167978
GUY,2015,755031
HIC,2015,1212444178
HKG,2015,7291300
HND,2015,9294505
HRV,2015,4203604
HTI,2015,10563757
HUN,2015,9843028
IDN,2015,259091970
IMN,2015,83593
IND,2015,1322866505
IRL,2015,4701957
IRN,2015,81790841
IRQ,2015,37757813
ISL,2015,330815
ISR,2015,8380100
ITA,2015,60730582
JAM,2015,2794445
JOR,2015,9494246
JPN,2015,127141000
KAZ,2015,17542806
KEN,2015,46851488
KGZ,2015,5956900
KHM,2015,15417523
KIR,2015,116707
KNA,2015,47790
KOR,2015,51014947
KWT,2015,3908743
LAO,2015,6787419
LBN,2015,6398940
LBR,2015,4612329
LBY,2015,6192235
LCA,2015,175623
LIE,2015,37355
LKA,2015,21336697
LSO,2015,2118521
LTU,2015,2904910
LUX,2015,569604
LVA,2015,1977527
MAC,2015,615239
MAF,2015,35020
MAR,2015,34680458
MCO,2015,36760
MDA,2015,2835978
MDG,2015,24850912
MDV,2015,435582
MEX,2015,120149897
MHL,2015,49410
MKD,2015,2070226
MLI,2015,18112907
MLT,2015,445053
MMR,2015,51483949
MNE,2015,622159
MNG,2015,2964749
MNP,2015,51514
MOZ,2015,26843246
MRT,2015,3946220
MUS,2015,1262879
MWI,2015,16938942
MYS,2015,31068833
NAC,2015,356507139
NAM,2015,2282704
NCL,2015,269460
NER,2015,20128124
NGA,2015,183995785
NIC,2015,6298598
NLD,2015,16939923
NOR,2015,5188607
NPL,2015,27610325
NRU,2015,11185
NZL,2015,4609400
OMN,2015,4191776
OSS,2015,29621042
PAK,2015,210969298
PAN,2015,3957099
PER,2015,30711863
PHL,2015,103031365
PLW,2015,17794
PNG,2015,8682174
POL,2015,37986412
PRI,2015,3473232
PRK,2015,25258015
PRT,2015,10358076
PRY,2015,6177950
PSE,2015,4270092
PYF,2015,291787
QAT,2015,2414573
ROU,2015,19815616
RUS,2015,144096870
RWA,2015,11642959
SAS,2015,1775545180
SAU,2015,32749848
SDN,2015,38171178
SEN,2015,14356181
SGP,2015,5535002
SLB,2015,612660
SLE,2015,7314773
SLV,2015,6231066
SMR,2015,33570
SOM,2015,13763906
SRB,2015,7095383
SSD,2015,11194299
STP,2015,201124
SUR,2015,575475
SVK,2015,5423801
SVN,2015,2063531
SWE,2015,9799186
SWZ,2015,1133936
SXM,2015,38825
SYC,2015,93419
SYR,2015,19205178
TCA,2015,36538
TCD,2015,14140274
TGO,2015,7473229
THA,2015,70294397
TJK,2015,8524063
TKM,2015,5766431
TLS,2015,1205813
TON,2015,106122
TTO,2015,1460177
TUN,2015,11557779
TUR,2015,79646178
TUV,2015,10877
TZA,2015,52542823
UGA,2015,37477356
UKR,2015,45154036
URY,2015,3402818
USA,2015,320738994
UZB,2015,31298900
VCT,2015,106482
VEN,2015,30529716
VGB,2015,29366
VIR,2015,107712
VNM,2015,92191398
VUT,2015,276438
WSM,2015,203571
XKX,2015,1788196
YEM,2015,28516545
ZAF,2015,55876504
ZMB,2015,16248230
ZWE,2015,14154937
ABW,2016,104874
AFG,2016,34636207
AGO,2016,29154746
ALB,2016,2876101
AND,2016,72540
ARE,2016,8994263
ARG,2016,43590368
ARM,2016,2865835
ASM,2016,50448
ATG,2016,90564
AUS,2016,24190907
AUT,2016,8736668
AZE,2016,9757812
BDI,2016,10903327
BEL,2016,11331422
BEN,2016,11260085
BFA,2016,19275498
BGD,2016,159784568
BGR,2016,7127822
BHR,2016,1409661
BHS,2016,395976
BIH,2016,3480986
BLR,2016,9469379
BLZ,2016,367313
BMU,2016,64554
BOL,2016,11263015
BRA,2016,206859578
BRB,2016,278649
BRN,2016,425994
BTN,2016,749761
BWA,2016,2352416
CAF,2016,4904177
CAN,2016,36109487
CHE,2016,8373338
CHI,2016,163721
CHL,2016,18083879
CHN,2016,1387790000
CIV,2016,24213622
CMR,2016,23711630
COD,2016,81430977
COG,2016,5186824
COL,2016,47625955
COM,2016,746232
CPV,2016,558394
CRI,2016,4945205
CUB,2016,11342012
CUW,2016,159664
CYM,2016,62255
CYP,2016,1197881
CZE,2016,10566332
DEU,2016,82348669
DJI,2016,1023261
DMA,2016,70075
DNK,2016,5728010
DOM,2016,10527592
DZA,2016,40339329
ECU,2016,16439585
EGY,2016,99784030
EMU,2016,340509447
ERI,2016,3365287
ESP,2016,46484062
EST,2016,1315790
ETH,2016,105293228
FIN,2016,5495303
FJI,2016,918371
FRA,2016,66724104
FRO,2016,49500
FSM,2016,109925
GAB,2016,2086206
GBR,2016,65611593
GEO,2016,3727505
GHA,2016,29554303
GIB,2016,32565
GIN,2016,11930985
GMB,2016,2317206
GNB,2016,1834552
GNQ,2016,1398927
GRC,2016,10775971
GRD,2016,119966
GRL,2016,56186
GTM,2016,15827690
GUM,2016,168346
GUY,2016,759087
HIC,2016,1219354936
HKG,2016,7336600
HND,2016,9460798
HRV,2016,4174349
HTI,2016,10713849
HUN,2016,9814023
IDN,2016,261850182
IMN,2016,83450
IND,2016,1338636340
IRL,2016,4755335
IRN,2016,83306231
IRQ,2016,38697943
ISL,2016,335439
ISR,2016,8546000
ITA,2016,60627498
JAM,2016,2802695
JOR,2016,9964656
JPN,2016,127076000
KAZ,2016,17794055
KEN,2016,47894670
KGZ,2016,6079500
KHM,2016,15624584
KIR,2016,118513
KNA,2016,47788
KOR,2016,51217803
KWT,2016,4048085
LAO,2016,6891363
LBN,2016,6258619
LBR,2016,4706097
LBY,2016,6282196
LCA,2016,176413
LIE,2016,37609
LKA,2016,21425494
LSO,2016,2143872
LTU,2016,2868231
LUX,2016,582014
LVA,2016,1959537
MAC,2016,626688
MAF,2016,34811
MAR,2016,35107264
MCO,2016,37071
MDA,2016,2803186
MDG,2016,25501941
MDV,2016,454252
MEX,2016,121519221
MHL,2016,48329
MKD,2016,2072490
MLI,2016,18700106
MLT,2016,455356
MMR,2016,51892349
MNE,2016,622303
MNG,2016,3029555
MNP,2016,51133
MOZ,2016,27696493
MRT,2016,4051890
MUS,2016,1263747
MWI,2016,17405624
MYS,2016,31526418
NAC,2016,359245796
NAM,2016,2323352
NCL,2016,270220
NER,2016,20921743
NGA,2016,188666931
NIC,2016,6389235
NLD,2016,17030314
NOR,2016,5234519
NPL,2016,27861186
NRU,2016,11437
NZL,2016,4714100
OMN,2016,4398070
OSS,2016,30309997
PAK,2016,213524840
PAN,2016,4026336
PER,2016,31132779
PHL,2016,104875266
PLW,2016,17816
PNG,2016,8899169
POL,2016,37970087
PRI,2016,3406672
PRK,2016,25389611
PRT,2016,10325452
PRY,2016,6266615
PSE,2016,4367088
PYF,2016,293541
QAT,2016,2595166
ROU,2016,19702267
RUS,2016,144342397
RWA,2016,11930899
SAS,2016,1797072648
SAU,2016,33416270
SDN,2016,39377169
SEN,2016,14751356
SGP,2016,5607283
SLB,2016,628102
SLE,2016,7493913
SLV,2016,6250510
SMR,2016,33834
SOM,2016,14292847
SRB,2016,7058322
SSD,2016,11066105
STP,2016,204632
SUR,2016,581453
SVK,2016,5430798
SVN,2016,2065042
SWE,2016,9923085
SWZ,2016,1142524
SXM,2016,39969
SYC,2016,94677
SYR,2016,18964252
TCA,2016,38246
TCD,2016,14592585
TGO,2016,7661354
THA,2016,70607037
TJK,2016,8725318
TKM,2016,5868561
TLS,2016,1224562
TON,2016,105707
TTO,2016,1469330
TUN,2016,11685667
TUR,2016,81019394
TUV,2016,10852
TZA,2016,54401802
UGA,2016,38748299
UKR,2016,45004673
URY,2016,3413766
USA,2016,323071755
UZB,2016,31847900
VCT,2016,105963
VEN,2016,30741464
VGB,2016,29739
VIR,2016,107516
VNM,2016,93126529
VUT,2016,283218
WSM,2016,205544
XKX,2016,1777557
YEM,2016,29274002
ZAF,2016,56422274
ZMB,2016,16767761
ZWE,2016,14452704
ABW,2017,105439
AFG,2017,35643418
AGO,2017,30208628
ALB,2017,2873457
AND,2017,73837
ARE,2017,9068296
ARG,2017,44044811
ARM,2017,2851923
ASM,2017,49463
ATG,2017,91119
AUS,2017,24594202
AUT,2017,8797566
AZE,2017,9854033
BDI,2017,11155593
BEL,2017,11375158
BEN,2017,11596779
BFA,2017,19835858
BGD,2017,161793964
BGR,2017,7075947
BHR,2017,1456834
BHS,2017,399020
BIH,2017,3440027
BLR,2017,9458989
BLZ,2017,374693
BMU,2017,63873
BOL,2017,11435533
BRA,2017,208504960
BRB,2017,279187
BRN,2017,430276
BTN,2017,756121
BWA,2017,2401840
CAF,2017,4996741
CAN,2017,36545236
CHE,2017,8451840
CHI,2017,165215
CHL,2017,18368577
CHN,2017,1396215000
CIV,2017,24848016
CMR,2017,24393181
COD,2017,84283273
COG,2017,5312340
COL,2017,48351671
COM,2017,761664
CPV,2017,564954
CRI,2017,4993842
CUB,2017,11336405
CUW,2017,160175
CYM,2017,63581
CYP,2017,1208523
CZE,2017,10594438
DEU,2017,82657002
DJI,2017,1040233
DMA,2017,70403
DNK,2017,5764980
DOM,2017,10647244
DZA,2017,41136546
ECU,2017,16696944
EGY,2017,101789386
EMU,2017,341246081
ERI,2017,3396933
ESP,2017,46593236
EST,2017,1317384
ETH,2017,108197950
FIN,2017,5508214
FJI,2017,919019
FRA,2017,66918020
FRO,2017,50230
FSM,2017,110430
GAB,2017,2140215
GBR,2017,66058859
GEO,2017,3728004
GHA,2017,30222262
GIB,2017,32602
GIN,2017,12240789
GMB,2017,2381182
GNB,2017,1879826
GNQ,2017,1450694
GRC,2017,10754679
GRD,2017,120921
GRL,2017,56172
GTM,2017,16087418
GUM,2017,168606
GUY,2017,763252
HIC,2017,1225545879
HKG,2017,7393200
HND,2017,9626842
HRV,2017,4124531
HTI,2017,10863543
HUN,2017,9787966
IDN,2017,264498852
IMN,2017,83580
IND,2017,1354195680
IRL,2017,4807388
IRN,2017,84505076
IRQ,2017,39621162
ISL,2017,343400
ISR,2017,8713300
ITA,2017,60536709
JAM,2017,2808376
JOR,2017,10215381
JPN,2017,126972000
KAZ,2017,18037776
KEN,2017,48948137
KGZ,2017,6198200
KHM,2017,15830689
KIR,2017,120362
KNA,2017,47785
KOR,2017,51361911
KWT,2017,4124904
LAO,2017,6997917
LBN,2017,6109252
LBR,2017,4796631
LBY,2017,6378261
LCA,2017,177163
LIE,2017,37889
LKA,2017,21506813
LSO,2017,2170617
LTU,2017,2828403
LUX,2017,596336
LVA,2017,1942248
MAC,2017,638609
MAF,2017,34496
MAR,2017,35528115
MCO,2017,37044
MDA,2017,2755189
MDG,2017,26169542
MDV,2017,472442
MEX,2017,122839258
MHL,2017,47187
MKD,2017,2074502
MLI,2017,19311355
MLT,2017,467999
MMR,2017,52288341
MNE,2017,622373
MNG,2017,3096030
MNP,2017,50729
MOZ,2017,28569441
MRT,2017,4160015
MUS,2017,1264887
MWI,2017,17881167
MYS,2017,31975806
NAC,2017,361731237
NAM,2017,2364534
NCL,2017,270810
NER,2017,21737922
NGA,2017,193495907
NIC,2017,6480532
NLD,2017,17131296
NOR,2017,5276968
NPL,2017,28183426
NRU,2017,11682
NZL,2017,4813600
OMN,2017,4541854
OSS,2017,30940313
PAK,2017,216379655
PAN,2017,4096063
PER,2017,31605486
PHL,2017,106738501
PLW,2017,17837
PNG,2017,9114796
POL,2017,37974826
PRI,2017,3325286
PRK,2017,25516321
PRT,2017,10300300
PRY,2017,6355404
PSE,2017,4454805
PYF,2017,295450
QAT,2017,2711755
ROU,2017,19588715
RUS,2017,144496739
RWA,2017,12230339
SAS,2017,1818931519
SAU,2017,34193122
SDN,2017,40679828
SEN,2017,15157793
SGP,2017,5612253
SLB,2017,643634
SLE,2017,7677565
SLV,2017,6266654
SMR,2017,34056
SOM,2017,14864221
SRB,2017,7020858
SSD,2017,10658226
STP,2017,208036
SUR,2017,587559
SVK,2017,5439232
SVN,2017,2066388
SWE,2017,10057698
SWZ,2017,1151390
SXM,2017,40574
SYC,2017,95843
SYR,2017,18983373
TCA,2017,39844
TCD,2017,15085884
TGO,2017,7852795
THA,2017,70898202
TJK,2017,8925525
TKM,2017,5968383
TLS,2017,1243235
TON,2017,105415
TTO,2017,1478607
TUN,2017,11811443
TUR,2017,82089826
TUV,2017,10828
TZA,2017,56267032
UGA,2017,40127085
UKR,2017,44831135
URY,2017,3422200
USA,2017,325122128
UZB,2017,32388600
VCT,2017,105549
VEN,2017,30563433
VGB,2017,30060
VIR,2017,107281
VNM,2017,94033048
VUT,2017,290239
WSM,2017,207630
XKX,2017,1791003
YEM,2017,30034389
ZAF,2017,56641209
ZMB,2017,17298054
ZWE,2017,14751101
ABW,2018,105962
AFG,2018,36686784
AGO,2018,31273533
ALB,2018,2866376
AND,2018,75013
ARE,2018,9140169
ARG,2018,44494502
ARM,2018,2836557
ASM,2018,48424
ATG,2018,91626
AUS,2018,24966643
AUT,2018,8840521
AZE,2018,9939771
BDI,2018,11493472
BEL,2018,11427054
BEN,2018,11940683
BFA,2018,20392723
BGD,2018,163683958
BGR,2018,7025037
BHR,2018,1487340
BHS,2018,401906
BIH,2018,3400129
BLR,2018,9438785
BLZ,2018,382066
BMU,2018,63918
BOL,2018,11606905
BRA,2018,210166592
BRB,2018,279688
BRN,2018,434274
BTN,2018,762096
BWA,2018,2451409
CAF,2018,5094780
CAN,2018,37065084
CHE,2018,8514329
CHI,2018,167259
CHL,2018,18701450
CHN,2018,1402760000
CIV,2018,25493988
CMR,2018,25076747
COD,2018,87087355
COG,2018,5441062
COL,2018,49276961
COM,2018,776313
CPV,2018,571202
CRI,2018,5040734
CUB,2018,11328244
CUW,2018,159336
CYM,2018,64884
CYP,2018,1218831
CZE,2018,10629928
DEU,2018,82905782
DJI,2018,1057198
DMA,2018,70823
DNK,2018,5793636
DOM,2018,10765531
DZA,2018,41927007
ECU,2018,17015672
EGY,2018,103740765
EMU,2018,342065158
ERI,2018,3445374
ESP,2018,46797754
EST,2018,1321977
ETH,2018,111129438
FIN,2018,5515525
FJI,2018,918996
FRA,2018,67158348
FRO,2018,50955
FSM,2018,110929
GAB,2018,2192012
GBR,2018,66460344
GEO,2018,3726549
GHA,2018,30870641
GIB,2018,32648
GIN,2018,12554864
GMB,2018,2444916
GNB,2018,1924955
GNQ,2018,1502091
GRC,2018,10732882
GRD,2018,121838
GRL,2018,56023
GTM,2018,16346950
GUM,2018,168678
GUY,2018,785514
HIC,2018,1231512170
HKG,2018,7452600
HND,2018,9792850
HRV,2018,4087843
HTI,2018,11012421
HUN,2018,9775564
IDN,2018,267066843
IMN,2018,83775
IND,2018,1369003306
IRL,2018,4867316
IRN,2018,85617562
IRQ,2018,40590700
ISL,2018,352721
ISR,2018,8882800
ITA,2018,60421760
JAM,2018,2811835
JOR,2018,10459865
JPN,2018,126811000
KAZ,2018,18276452
KEN,2018,49953304
KGZ,2018,6322800
KHM,2018,16025238
KIR,2018,122261
KNA,2018,47761
KOR,2018,51585058
KWT,2018,4317185
LAO,2018,7105006
LBN,2018,5950839
LBR,2018,4889391
LBY,2018,6477793
LCA,2018,177888
LIE,2018,38181
LKA,2018,21670000
LSO,2018,2198017
LTU,2018,2801543
LUX,2018,607950
LVA,2018,1927174
MAC,2018,650991
MAF,2018,33852
MAR,2018,35927511
MCO,2018,37029
MDA,2018,2707203
MDG,2018,26846541
MDV,2018,489758
MEX,2018,124013861
MHL,2018,45989
MKD,2018,2076217
MLI,2018,19934298
MLT,2018,484630
MMR,2018,52666014
MNE,2018,622227
MNG,2018,3163991
MNP,2018,50304
MOZ,2018,29423878
MRT,2018,4270712
MUS,2018,1265577
MWI,2018,18367883
MYS,2018,32399271
NAC,2018,363967201
NAM,2018,2405680
NCL,2018,271170
NER,2018,22577058
NGA,2018,198387623
NIC,2018,6572233
NLD,2018,17231624
NOR,2018,5311916
NPL,2018,28506712
NRU,2018,11924
NZL,2018,4900600
OMN,2018,4601157
OSS,2018,31494491
PAK,2018,219731479
PAN,2018,4165255
PER,2018,32203944
PHL,2018,108568836
PLW,2018,17864
PNG,2018,9329227
POL,2018,37974750
PRI,2018,3193354
PRK,2018,25638149
PRT,2018,10283822
PRY,2018,6443328
PSE,2018,4569087
PYF,2018,297606
QAT,2018,2766732
ROU,2018,19473970
RUS,2018,144477859
RWA,2018,12531808
SAS,2018,1840534093
SAU,2018,35018133
SDN,2018,41999059
SEN,2018,15574909
SGP,2018,5638676
SLB,2018,659249
SLE,2018,7861281
SLV,2018,6276342
SMR,2018,34156
SOM,2018,15411094
SRB,2018,6982604
SSD,2018,10395329
STP,2018,211344
SUR,2018,593715
SVK,2018,5446771
SVN,2018,2073894
SWE,2018,10175214
SWZ,2018,1160428
SXM,2018,40895
SYC,2018,96762
SYR,2018,19333463
TCA,2018,41487
TCD,2018,15604210
TGO,2018,8046679
THA,2018,71127802
TJK,2018,9128132
TKM,2018,6065066
TLS,2018,1261845
TON,2018,105150
TTO,2018,1504709
TUN,2018,11933041
TUR,2018,82809304
TUV,2018,10865
TZA,2018,58090443
UGA,2018,41515395
UKR,2018,44622518
URY,2018,3427042
USA,2018,326838199
UZB,2018,32956100
VCT,2018,105281
VEN,2018,29825653
VGB,2018,30335
VIR,2018,107001
VNM,2018,94914330
VUT,2018,297298
WSM,2018,209701
XKX,2018,1797085
YEM,2018,30790513
ZAF,2018,57339635
ZMB,2018,17835893
ZWE,2018,15052184
ABW,2019,106442
AFG,2019,37769499
AGO,2019,32353588
ALB,2019,2854191
AND,2019,76343
ARE,2019,9211657
ARG,2019,44938712
ARM,2019,2820602
ASM,2019,47321
ATG,2019,92117
AUS,2019,25340217
AUT,2019,8879920
AZE,2019,10024283
BDI,2019,11874838
BEL,2019,11488980
BEN,2019,12290444
BFA,2019,20951639
BGD,2019,165516222
BGR,2019,6975761
BHR,2019,1494188
BHS,2019,404557
BIH,2019,3360711
BLR,2019,9419758
BLZ,2019,389095
BMU,2019,63911
BOL,2019,11777315
BRA,2019,211782878
BRB,2019,280180
BRN,2019,438048
BTN,2019,767459
BWA,2019,2499702
CAF,2019,5209324
CAN,2019,37601230
CHE,2019,8575280
CHI,2019,169410
CHL,2019,19039485
CHN,2019,1407745000
CIV,2019,26147551
CMR,2019,25782341
COD,2019,89906890
COG,2019,5570733
COL,2019,50187406
COM,2019,790986
CPV,2019,577030
CRI,2019,5084532
CUB,2019,11316697
CUW,2019,157441
CYM,2019,66134
CYP,2019,1228836
CZE,2019,10671870
DEU,2019,83092962
DJI,2019,1073994
DMA,2019,71428
DNK,2019,5814422
DOM,2019,10881882
DZA,2019,42705368
ECU,2019,17343740
EGY,2019,105618671
EMU,2019,342452734
ERI,2019,3498818
ESP,2019,47134837
EST,2019,1326898
ETH,2019,114120594
FIN,2019,5521606
FJI,2019,918465
FRA,2019,67388001
FRO,2019,51681
FSM,2019,111379
GAB,2019,2242785
GBR,2019,66836327
GEO,2019,3720161
GHA,2019,31522290
GIB,2019,32685
GIN,2019,12877539
GMB,2019,2508883
GNB,2019,1970457
GNQ,2019,1553031
GRC,2019,10721582
GRD,2019,122724
GRL,2019,56225
GTM,2019,16604026
GUM,2019,168624
GUY,2019,798753
HIC,2019,1236715327
HKG,2019,7507900
HND,2019,9958829
HRV,2019,4065253
HTI,2019,11160438
HUN,2019,9771141
IDN,2019,269582878
IMN,2019,83933
IND,2019,1383112050
IRL,2019,4934340
IRN,2019,86564202
IRQ,2019,41563520
ISL,2019,360563
ISR,2019,9054000
ITA,2019,59729081
JAM,2019,2813773
JOR,2019,10698683
JPN,2019,126633000
KAZ,2019,18513673
KEN,2019,50951450
KGZ,2019,6456200
KHM,2019,16207746
KIR,2019,124241
KNA,2019,47712
KOR,2019,51764822
KWT,2019,4441100
LAO,2019,7212053
LBN,2019,5781907
LBR,2019,4985289
LBY,2019,6569088
LCA,2019,178583
LIE,2019,38482
LKA,2019,21803000
LSO,2019,2225702
LTU,2019,2794137
LUX,2019,620001
LVA,2019,1913822
MAC,2019,663653
MAF,2019,33121
MAR,2019,36304408
MCO,2019,37034
MDA,2019,2664224
MDG,2019,27533134
MDV,2019,504508
MEX,2019,125085311
MHL,2019,44728
MKD,2019,2076694
MLI,2019,20567424
MLT,2019,504062
MMR,2019,53040212
MNE,2019,622028
MNG,2019,3232430
MNP,2019,49858
MOZ,2019,30285595
MRT,2019,4383849
MUS,2019,1265985
MWI,2019,18867337
MYS,2019,32804020
NAC,2019,365995094
NAM,2019,2446644
NCL,2019,271240
NER,2019,23443393
NGA,2019,203304492
NIC,2019,6663924
NLD,2019,17344874
NOR,2019,5347896
NPL,2019,28832496
NRU,2019,12132
NZL,2019,4979200
OMN,2019,4602768
OSS,2019,32005477
PAK,2019,223293280
PAN,2019,4232532
PER,2019,32824861
PHL,2019,110380804
PLW,2019,17916
PNG,2019,9542486
POL,2019,37965475
PRI,2019,3193694
PRK,2019,25755441
PRT,2019,10286263
PRY,2019,6530026
PSE,2019,4685306
PYF,2019,299717
QAT,2019,2807235
ROU,2019,19371648
RUS,2019,144406261
RWA,2019,12835028
SAS,2019,1861598514
SAU,2019,35827362
SDN,2019,43232093
SEN,2019,16000781
SGP,2019,5703569
SLB,2019,674993
SLE,2019,8046828
SLV,2019,6280217
SMR,2019,34178
SOM,2019,15981300
SRB,2019,6945235
SSD,2019,10447666
STP,2019,214599
SUR,2019,600301
SVK,2019,5454147
SVN,2019,2088385
SWE,2019,10278887
SWZ,2019,1169613
SXM,2019,41608
SYC,2019,97625
